hidden input,hidden output,question,sample_input,sample_output
"""{'region': 'us-east-1', 'account_id': '123456789012', 'queue_name': 'my-queue'}""",https://sqs.us-east-1.amazonaws.com/123456789012/my-queue,Generate an AWS SQS queue URL following the AWS format.\n\nInput:\n- region: AWS region\n- account_id: AWS account ID\n- queue_name: SQS queue name,"""{'region': 'eu-central-1', 'account_id': '123456789012', 'queue_name': 'notification-queue'}""",https://sqs.eu-central-1.amazonaws.com/123456789012/notification-queue
"""{'service': 'lambda', 'region': 'us-east-1', 'account_id': '123456789012', 'resource_name': 'function:hello-world'}""",arn:aws:lambda:us-east-1:123456789012:function:hello-world,Generate an AWS ARN using the provided components.\n\nInput:\n- account_id: AWS account ID\n- resource_name: Resource identifier (May contain the resource type if applicable)\n- service: AWS service name\n- region: AWS region,"""{'service': 'dynamodb', 'region': 'eu-west-1', 'account_id': '123456789012', 'resource_name': 'table/users'}""",arn:aws:dynamodb:eu-west-1:123456789012:table/users
"""{'s1': {5, 6, 7}, 's2': {8, 6, 7}}""","""{6, 7}""","""Given sets s1 and s2, write code so that result is equal to the intersection of both sets\n\nInput:\n- s1: First set\n- s2: Second set""","""{'s1': {1, 2, 3, 4}, 's2': {3, 4, 5, 6}}""","""{3, 4}"""
"""{'subway_network': {'A': ['B', 'C'], 'B': ['A', 'D', 'E'], 'C': ['A', 'F'], 'D': ['B'], 'E': ['B', 'F'], 'F': ['C', 'E']}, 'start_station': 'A', 'end_station': 'F'}""","""['A', 'C', 'F']""","""Implement a Breadth-First Search algorithm to find the shortest path in a subway network.\n Given a subway network where stations are nodes and direct connections are edges, find the shortest path between two stations.\n Return the list of stations that need to be visited in sequence to reach the destination with the minimum number of stops.\n\nInput:\n- subway_network: Dictionary representing station connectivity\n- start_station: Starting station name\n- end_station: Destination station name""","""{'subway_network': {'Central': ['Downtown', 'Westside', 'Airport'], 'Downtown': ['Central', 'Financial', 'River'], 'Westside': ['Central', 'University', 'Park'], 'Airport': ['Central', 'International', 'Hotel'], 'Financial': ['Downtown', 'Harbor'], 'River': ['Downtown', 'Sports', 'Museum'], 'University': ['Westside', 'Library'], 'Park': ['Westside', 'Zoo'], 'International': ['Airport', 'Hotel'], 'Hotel': ['Airport', 'International', 'Beach'], 'Harbor': ['Financial', 'Ferry'], 'Sports': ['River', 'Stadium'], 'Museum': ['River', 'Gallery'], 'Library': ['University'], 'Zoo': ['Park'], 'Ferry': ['Harbor'], 'Stadium': ['Sports'], 'Gallery': ['Museum'], 'Beach': ['Hotel']}, 'start_station': 'Central', 'end_station': 'Beach'}""","""['Central', 'Airport', 'Hotel', 'Beach']"""
{'a': 6},TRUE,"""Determine if a number is perfect based on Nicomachus (60 - 120 CE) classification scheme for positive integers.\n Positive integers belong uniquely to the categories of perfect, abundant, or deficient based on their aliquot sum. The aliquot sum is defined as the sum of the factors of a number not including the number itself.\n A number is perfect when it equals its aliquot sum.\n A number is abundant when it is less than its aliquot sum.\n A number is deficient when it is greater than its aliquot sum.\n Given an integer, write code so that result is equal to True if the value of a is perfect or otherwise False.\n\nInput:\n- a: An integer""",{'a': 28},TRUE
"""{'a1': [4, 2, -3, -1, 4, 0]}""","""[2, 4]""","""Given array of integers a1. Write code so that result is equal to the first non-empty subarray whose elements sum up to zero.\n Example if a1 = [5, 1, 2, -3, 7, -4], Sum of [1, 2, -3] subarray is zero. It starts at index 1 and ends at index 3 of the given array, so [1, 3] is a correct answer.\n\nInput:\n- a1: A list of numbers""","""{'a1': [5, 1, 2, -3, 7, -4]}""","""[1, 3]"""
{'a': 7},"""[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1], [1, 4, 6, 4, 1], [1, 5, 10, 10, 5, 1], [1, 6, 15, 20, 15, 6, 1]]""",Compute Pascal's triangle up to the specified row.\n In Pascal's Triangle each number is computed by adding the numbers to the right and left of the current position in the previous row.\n\n____1\n___1 1\n__1 2 1\n_1 3 3 1\n 1 4 6 4 1.\n\nInput:\n- a: Row number to compute up to,{'a': 5},"""[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1], [1, 4, 6, 4, 1]]"""
"""{'msg': 'kql fdjzv gytpa eti cdhmr twly kql onub stx', 'a': 19, 'b': 13}""",the quick brown fox jumps over the lazy dog,"""Implement the affine cipher decryption.\n The affine cipher is a type of monoalphabetic substitution cipher. Each character is mapped to its numeric equivalent, encrypted with a mathematical function and then converted to the letter relating to its new numeric value. \n\n The encryption function is:\n E(x) = (ai + b) mod m\n Where:\n i is the letter index from 0 to the length of the alphabet - 1\n m is the length of the alphabet. For the Roman alphabet m is 26.\n a and b are integers which make the encryption key\n\n The decryption function is:\n D(y) = (a^-1)(y - b) mod m\n Where:\n y is the numeric value of an encrypted letter\n a^-1 is the modular multiplicative inverse of a mod m\n\n Example:\n Decrypting """"ybty"""" gives """"test"""" with the key a = 5, b = 7.\n\nInput:\n- msg: Encoded message to decrypt\n- a: First part of the affine cipher key\n- b: Second part of the affine cipher key""","""{'msg': 'hmjje iezjf', 'a': 7, 'b': 10}""",hello world
"""{'grid': [[0, 1, 0], [0, 1, 0], [0, 1, 0]]}""","""[[0, 0, 0], [1, 1, 1], [0, 0, 0]]""",Implement Conway's Game of Life for one iteration.\n Conway's Game of Life is a cellular automaton where:\n 1. Any live cell with fewer than two live neighbors dies (underpopulation)\n 2. Any live cell with two or three live neighbors lives on\n 3. Any live cell with more than three live neighbors dies (overpopulation)\n 4. Any dead cell with exactly three live neighbors becomes a live cell (reproduction)\n The game is represented as a grid where 1=live cell and 0=dead cell.\n\nInput:\n- grid: 2D list representing the current state,"""{'grid': [[1, 1], [1, 0]]}""","""[[1, 1], [1, 1]]"""
"""{'a': 20, 'b': 30}""",50,"""Given 2 variables, write code so that result = the sum of the 2 numbers.\n\nInput:\n- a: First number\n- b: Second number""","""{'a': 13, 'b': 17}""",30
"""{'r1': 'lambda-prod-payment-processor', 'r2': 'lambda-prod-payment-procesor'}""",1,Implement a Levenshtein distance calculator for AWS resource naming. to find the distance between two resources names\n The Levenshtein distance is a measure of similarity between two strings. It is the minimum number of single-character edits required to change one string into another.\n This could be used to find similar AWS resource names that might be typos.\n\nInput:\n- r1: First resource name\n- r2: Second resource name,"""{'r1': 'lambda-processor', 'r2': 'lambba-procesor'}""",2
"""{'str1': 'New', 'str2': 'World'}""",New World,Concatenate two strings with a single space between them.\n\nInput:\n- str1: First string\n- str2: Second string,"""{'str1': 'Hello', 'str2': 'Developer'}""",Hello Developer
"""{'event': {'Records': [{'s3': {'bucket': {'name': 'my-bucket'}, 'object': {'key': 'data/users.json'}}}]}}""",my-bucket/data/users.json,"""From an S3 event notification, extract the bucket name and object key to form the string '<bucket_name>/<object_key>'.\n\nInput:\n- event: S3 event notification object""","""{'event': {'Records': [{'s3': {'bucket': {'name': 'images-repo'}, 'object': {'key': 'profiles/user1234.png'}}}]}}""",images-repo/profiles/user1234.png
"""{'region': 'us-east-1', 'reservations': {'us-east-1a': [{'type': 'm5.large', 'count': 10}, {'type': 'c5.xlarge', 'count': 5}], 'us-east-1b': [{'type': 'm5.large', 'count': 5}, {'type': 'r5.large', 'count': 8}], 'us-east-1c': [{'type': 'c5.xlarge', 'count': 12}, {'type': 'r5.large', 'count': 3}]}, 'usage': {'us-east-1a': [{'type': 'm5.large', 'count': 7}, {'type': 'c5.xlarge', 'count': 5}], 'us-east-1b': [{'type': 'm5.large', 'count': 8}, {'type': 'r5.large', 'count': 4}], 'us-east-1c': [{'type': 'c5.xlarge', 'count': 15}, {'type': 'r5.large', 'count': 6}]}}""","""[{'instance_type': 'm5.large', 'from_az': 'us-east-1a', 'to_az': 'us-east-1b', 'count': 3}, {'instance_type': 'r5.large', 'from_az': 'us-east-1b', 'to_az': 'us-east-1c', 'count': 3}]""","""Optimize AWS cost by identifying underutilized reserved instances and suggesting instance transfers.\n\nIn AWS, you can transfer reserved instances between availability zones within the same region.\nGiven the current instance usage and reservations, identify optimal transfers to maximize savings.\n\nInput:\n- region: AWS region\n- reservations: Dictionary mapping AZ to list of reserved instance types with counts\n- usage: Dictionary mapping AZ to list of instance types in use with counts\n\nReturn a list of transfer recommendations, each containing 'instance_type', 'from_az', 'to_az', and 'count', sorted on 'instance_type'.""","""{'region': 'eu-west-1', 'reservations': {'eu-west-1a': [{'type': 't3.medium', 'count': 12}, {'type': 'm5.xlarge', 'count': 7}], 'eu-west-1b': [{'type': 't3.medium', 'count': 5}, {'type': 'c5.2xlarge', 'count': 4}], 'eu-west-1c': [{'type': 'm5.xlarge', 'count': 9}, {'type': 'c5.2xlarge', 'count': 3}]}, 'usage': {'eu-west-1a': [{'type': 't3.medium', 'count': 7}, {'type': 'm5.xlarge', 'count': 10}], 'eu-west-1b': [{'type': 't3.medium', 'count': 9}, {'type': 'c5.2xlarge', 'count': 3}], 'eu-west-1c': [{'type': 'm5.xlarge', 'count': 8}, {'type': 'c5.2xlarge', 'count': 5}]}}""","""[{'instance_type': 'c5.2xlarge', 'from_az': 'eu-west-1b', 'to_az': 'eu-west-1c', 'count': 1}, {'instance_type': 'm5.xlarge', 'from_az': 'eu-west-1c', 'to_az': 'eu-west-1a', 'count': 1}, {'instance_type': 't3.medium', 'from_az': 'eu-west-1a', 'to_az': 'eu-west-1b', 'count': 4}]"""
"""{'messages': [{'Body': '{""""user"""": """"Alice"""", """"text"""": """"Welcome""""}'}, {'Body': '{""""user"""": """"David"""", """"text"""": """"to""""}'}, {'Body': '{""""user"""": """"Carol"""", """"text"""": """"CodeWhisperer""""}'}], 'attribute_name': 'text'}""",Welcome to CodeWhisperer,"""Process a batch messages that you might find in an SQS queue, extracting a specific attribute from each message body to create a sentence.\n\nInput:\n- messages: List of SQS message objects\n- attribute_name: Name of the attribute to extract from each message""","""{'messages': [{'Body': '{""""name"""": """"John"""", """"word"""": """"Hello""""}'}, {'Body': '{""""name"""": """"Jane"""", """"word"""": """"AWS""""}'}, {'Body': '{""""name"""": """"Bob"""", """"word"""": """"World""""}'}], 'attribute_name': 'word'}""",Hello AWS World
"""{'required_params': ['DBName', 'DBUser', 'DBPassword', 'KeyName', 'SecurityGroup'], 'template': {'Parameters': {'DBName': {}, 'DBUser': {}, 'InstanceType': {}}}}""",3,Check how many of the required parameters are missing in a CloudFormation template.\n\nInput:\n- required_params: List of parameter names that are required\n- template: CloudFormation template object,"""{'required_params': ['VpcId', 'SubnetId', 'SecurityGroup', 'InstanceType', 'KeyName'], 'template': {'Parameters': {'VpcId': {'Type': 'String', 'Default': 'vpc-12345678'}, 'SubnetId': {'Type': 'String', 'Default': 'subnet-12345678'}, 'InstanceType': {'Type': 'String', 'Default': 't2.micro'}, 'Environment': {'Type': 'String', 'Default': 'dev'}}}}""",2
"""{'services': ['Lambda', 'DynamoDB', 'S3', 'EC2'], 'shift': 2}""","""['Ncodfc', 'FapcoqFD', 'U5', 'GE4']""","""Implement a Caesar cipher for AWS service names.\n In a Caesar cipher, each letter in the plaintext is shifted a certain number of places down the alphabet.\n Given a list of AWS service names and a shift value, return a list of encrypted service names.\n Example: With shift=1, """"S3"""" becomes """"T4"""", """"EC2"""" becomes """"FD3""""\n Note: Shift only alphabetic characters, increment numbers by the shift value (with wraparound from 9 to 0), and preserve spaces and special characters.\n\nInput:\n- services: List of AWS service names\n- shift: Number of positions to shift""","""{'services': ['SQS', 'SNS'], 'shift': 3}""","""['VTV', 'VQV']"""
"""{'tags': {'Name': 'web-server', 'Environment': 'prod', 'Owner': 'team-a'}}""","""[{'Key': 'Name', 'Value': 'web-server'}, {'Key': 'Environment', 'Value': 'prod'}, {'Key': 'Owner', 'Value': 'team-a'}]""",Convert a dictionary of tags to the format expected by EC2 API.\n\nInput:\n- tags: Dictionary of tag key-value pairs,"""{'tags': {'Project': 'e-commerce', 'CostCenter': '123456', 'Department': 'IT'}}""","""[{'Key': 'Project', 'Value': 'e-commerce'}, {'Key': 'CostCenter', 'Value': '123456'}, {'Key': 'Department', 'Value': 'IT'}]"""
{'event': {'awslogs': {'data': 'H4sIAIDgImgC/61WXW+jOhD9KxG6jyXY5iOQN5TQBilfF8hddTcVcsBN0RLgGtPebNX/fm1D0t3uLlK0eQOfsT1z5sx4XpUDqWu8J9GxIsp4oEzdyI0XXhi6d55yM1DKl4JQAUCkG6Y1sh0AkQDycn9Hy6YSmIZfai3Hh12KtcNRfWyKhGVl0ZmFjBJ8EHYIIF2DSENA+/LX3I28MHrAuyQlj++ni011s6sTmlXikNssZ4TWfPsXZXEMf0KUh/YW75kUTJq9KlkqbtMNCyEdWsBxLGdk28YIWKYBnJEFLNtGyDZFLJYFEQLQgJah2w4yHUN4wDLOC8MHER4cAR1waKQDADjWMSauCCM3iAYB+bfh1n46HlipPrISBFXLBrpqOLap2shMVGBbKdhZBkqs0eAfHg/3fzzoOFDebgZ/6LTZ5zT80enXrZKTZ5JvlfFW8Ze3q61ys1WI4E8ubUIviOerO38pgaYm1E8lIj55puRyVrlpSvmpEoEOGkLLHsIhPG9y96cTF+W3LM+xZg6BRM+OSlSoQoVIRSCCxhjBMdSH3OnPW+XtCsxYfcygHma8IFgFH6hx13586/rzTeC1SJFWZdaBGq4y7RlqJU15gluc0pJOypRIAxOA99VFe60EppjhHa7JICmLgsjaGQiXy4bJDfQkMGnN/1ReLNehZ9RHj36ZcFbBlCtnEnhc1VOJSSo6t/m3ygu8T1P4UDbyLMcZOo4QGSMHITD9GqHafaEaPaF+coPlh1ADHmI89xd+FEezwAtnq/m0vyy63HepnJwCNUU5PPENT2UuCOF2XYF8yoq0fGmPOWRFw8h1Mu700WBelvG1e7/wllG8DlYT/mZ0WWcUFzWWMu6SzP5TTznmt7KmZadukkQyxZcrfDzwUxeEPZXtnoSSNGNxgmn6C3H8ORMWAH1MWJe2hk00+6E3fNC4rFgpAFyXhVzOimecZ2nMyq+kaGNkXPDVWR36NaKEfVGOLsv3xJ3MvHjhh6EEvpKjXK5omTYJG4tXvE0yoc9ZQrp2lWZtjnPMSJGILYZ5jchQX2T2ZZHd+nMv3qznK7fV8GOWky574vPcucTPEh9OoVUlZcMqfWyjzr4RWcKGbY4svnDgvonBShrjqsqzBIuq0OSOa1Cg91HgXNbTxOM29daBN3Ejf7X8/QOXkz0WaeR4QV68n02QljSUynMFLU1RE8bfOHJ67g0VWKoOrkNB37wGwWUqCD03mMzivzdecC8h3qzpkQ+wWbGXBru8IQPeq0ndFXPd5KyWim5/q5IHG2VSILwaWsUwOQ+MX88S2SoGkgckZV7S88mckGsw0jcMQnhhX4tmfjCN13zOvY+FQt5tvi/yrn3He57lF3z8xfAT+QtvtYk62hg9npvc716MK804HOvj48MI6C2nl87zytvD2/8/68s+SA0AAA=='}}},3,"""Count all """"ERROR"""" level log messages from a CloudWatch Logs event. The logs are base64 encoded and gzip compressed.\n\nInput:\n- event: CloudWatch Logs event object containing compressed logs in the 'data' field""",{'event': {'awslogs': {'data': 'H4sIAOF+KWgC/62Tb2+bMBDGvwqy9jIM2xhjeMcaEkVbkw5opa1EkQNOhUSA8adVFeW7zzbZWkXKpGrhnZ/nfHe/O3MAe9F1/Ekkr40AvgGmQRJsbsM4DuYhmBigfqlEqwyPudQhNkbQY8oo66d5Ww+N8iz+0lkl329zbnXFvimFuRuqrC/q6hQa963gexWLISYWdCzErMdP34IkjJM1wjZxqMs8yLdZLnbqUjdsu6wtGpVkVpS9aDt5/RHEOv+ogPWYPXwWVa/tAyhyVcUmFGMbUeh51HMZIy6U3UPPpZAyhjFzPIgwpQhjiAiixGYediFUlftCzqTne4WGXJkDMYSh/KR3mpYqESdBlBiR+DXI6EXuGzvG3UxWMb0tRibJbWZyByLTYzhDkkoRGg+SQxL5xokdHCfGfzaNLjeNzps+pKAUz6JMgZ+CxXK2SsEkBULNT0uz++VNslgtN4vlw+prONV2+4dRh8iTKRemnb9VtaNWa0LHRCyB1MfYh/Cz7OBnCo5XwMSXMfFHMdUr/xLE4eb7fRj9GFH4thTaHDq5I63VjWi5eoBan4eJVkveiyp7lRp2rgFmXwaz/wkWRtEqOiML7habd3qVN3VxsizeFFbOez5abVu3N3U+MhNI3tTbsZ42ItHVQ5sJo6p7Y1cPVX6dbZLL0OQcOlxOP/qfgeP6+BuN2eIJ3AQAAA=='}}},1
{'region': 'us-east-1'},TRUE,Validate if a given string is a valid AWS region identifier.\n\nInput:\n- region: String to validate as an AWS region,{'region': 'antarctica-1'},FALSE